Geneid	Control_1	Control_2	Treated_1	Treated_2
NM_001272264.1	0	0	9	14
NM_057368.5	0	4	16	14
NM_001103400.2	0	0	0	2
NM_130659.2	0	0	2	0
NM_130660.2	0	2	2	0
NM_206616.2	0	0	2	0
NM_001297903.1	0	0	0	1
NM_130664.4	37	44	222	244
NM_130665.5	0	0	2	4
NM_130666.2	0	0	0	2
NM_130667.4	14	28	118	102
NM_130669.4	38	68	254	264
NM_058146.4	0	0	6	0
NM_130670.2	0	0	0	2
NM_057990.4	12	35	159	152
NM_001316628.1	0	0	2	3
NM_130672.3	6	2	29	37
NM_166951.2	0	0	1	2
NM_080318.3	1	2	19	9
NM_001258580.1	0	0	0	9
NM_057439.2	0	0	1635	1544
NM_130675.2	0	0	1	2
NM_130676.2	0	0	2	0
NM_130678.3	6	31	22	18
NM_166956.4	13	30	118	112
NM_001272269.1	1	1	3	2
NM_130681.2	0	2	4	0
NM_166957.2	0	0	2	1
NM_130683.2	0	2	0	0
NM_001272270.1	0	3	2	1
NM_001297906.1	0	4	9	7
NM_001297907.1	0	0	2	5
NM_058134.5	2	4	8	9
NM_130694.3	2	0	102	128
NM_057593.4	0	0	0	2
NM_080321.1	2	0	14	6
NM_057329.4	0	0	10	12
NM_057369.4	0	0	2	0
NM_001272273.1	0	2	26	19
NM_166966.3	0	0	1	0
NR_123781.1	0	0	2	3
NM_130698.2	0	0	4	0
NM_080322.3	2	2	54	57
NM_166971.2	0	0	0	7
NM_001272275.1	38	46	1451	1383
NM_166973.2	18	24	45	49
NM_130706.3	0	1	1	5
NM_130707.2	10	8	29	46
NM_001272289.1	0	0	12	2
NR_133508.1	1	1	15	20
NM_130714.2	0	0	0	1
NM_001169180.1	0	5	16	6
NR_123783.1	50	53	208	204
NM_080324.4	6	1	54	46
NM_166986.3	0	0	6	5
NM_001272292.1	0	0	1	1
NM_206620.6	0	0	1	0
NM_001272291.1	0	0	4	0
NM_001144681.3	2	2	32	20
NM_130717.5	0	0	2	7
NM_166990.4	0	0	7	6
NM_130722.4	2	0	1	4
NM_166992.3	0	2	5	0
NM_001103407.3	5	0	17	11
NR_123784.1	0	1	7	7
NM_057800.4	1	0	0	0
NM_057799.4	65	38	31	28
NM_001297915.1	0	0	0	1
NM_001297917.1	0	0	1	1
NM_130724.4	414	534	1920	1986
NM_130725.3	2	0	6	4
NM_001272295.1	0	0	9	2
NM_001297919.1	0	0	18	15
NM_166997.2	0	0	2	0
NM_080325.4	4	5	18	21
NM_130732.2	34	44	666	677
NM_001316636.1	1	0	0	0
NR_123785.1	0	1	3	7
NR_163200.1	0	0	1	0
NM_001370021.1	0	0	0	1
NM_001297921.1	0	0	0	1
NM_001297922.1	0	0	0	1
NM_057518.4	8	2	38	44
NM_057553.5	4	18	52	38
NM_080326.4	0	0	3	0
NM_001258587.1	0	0	0	2
NM_143750.3	12	24	298	283
NM_131923.4	0	0	3	2
NM_001258591.2	0	0	1	0
NM_167003.3	36	30	312	250
NR_133513.1	0	0	0	1
NM_080242.4	10	14	58	48
NM_131934.2	122	190	570	500
NR_133514.1	0	0	0	2
NM_131936.3	0	0	1	1
NM_001258600.2	2	2	6	14
NM_080332.4	1	0	2	1
NM_001297933.1	0	0	1	0
NM_131938.2	26	42	188	186
NM_167010.3	4	0	12	21
NM_131940.2	2	6	11	12
NM_131941.4	10	6	54	63
NM_131942.3	12	10	72	98
NM_001014722.2	10	3	17	11
NM_080333.3	2	2	110	96
NM_080334.4	20	20	98	117
NM_080011.3	1	0	5	4
NM_131951.2	2	2	2	5
NM_080113.3	4	10	25	16
NM_001297938.1	4	6	16	28
NM_167015.3	3	1	9	8
NM_167019.2	0	0	0	1
NM_167017.3	0	1	0	0
NM_131954.1	0	3	0	0
NM_131957.2	0	0	0	2
NM_131960.2	0	0	0	2
NR_123793.1	0	0	0	2
NM_131968.5	0	0	9	6
NM_131969.5	47	76	344	333
NR_156795.1	2	0	8	8
NM_001272318.2	1	0	1	0
NM_001103412.2	0	0	1	1
NM_001272319.1	0	0	1	0
NM_206627.3	0	0	1	0
NM_001103410.3	0	0	1	0
NM_167024.3	2	3	4	3
NM_001169198.2	0	0	1	1
NM_001169201.2	0	0	0	1
NM_001272321.1	21	23	226	244
NM_001169203.2	0	0	3	4
NM_131977.2	0	0	2	0
NM_131981.3	0	0	2	0
NM_001297951.1	0	0	1	1
NM_131982.3	2	0	8	14
NM_131983.2	0	0	2	0
NM_078489.3	12	6	154	128
NM_078490.4	36	72	230	236
NM_131986.2	0	0	2	0
NM_131987.4	6	10	113	87
NM_131989.4	6	12	426	418
NM_080002.4	0	0	0	1
NM_131991.3	2	0	38	19
NM_167034.2	43	42	392	438
NM_001258603.2	0	0	0	1
NM_167033.3	0	0	1	0
NM_131993.4	6	7	50	46
NM_167037.2	0	0	2	0
NM_001297961.1	3	4	20	18
NM_167036.2	0	0	1	4
NM_131994.3	0	0	2	2
NR_123796.1	11	19	92	89
NM_001297962.1	2	1	39	34
NR_002461.2	2	0	0	0
NM_001258604.2	1	0	4	2
NM_078494.4	26	28	174	199
NR_047765.1	0	1	0	0
NM_132008.4	8	14	124	110
NR_123800.1	0	0	2	0
NM_001297970.1	0	3	9	8
NM_080005.4	41	94	625	728
NM_167043.3	121	175	818	797
NM_001258605.1	0	0	0	4
NM_132017.2	26	56	246	248
NR_123802.1	1	0	0	2
NM_080525.3	1	2	7	5
NM_132018.3	31	18	140	110
NR_123803.1	0	0	2	0
NM_132019.3	6	2	34	21
NM_001297975.1	0	1	8	4
NM_176685.2	13	14	47	54
NM_001297977.1	2	4	4	0
NM_001272329.2	0	1	0	0
NM_167045.3	11	7	53	65
NM_132023.2	0	0	5	0
NM_167047.2	0	0	3	1
NM_001272333.1	0	0	0	1
NM_001297978.1	0	0	1	0
NM_176687.3	0	0	0	1
NM_001201618.1	0	0	0	1
NM_132037.4	0	0	2	0
NM_132040.2	0	2	8	20
NM_001272334.1	0	0	2	0
NR_047771.1	0	0	10	22
NM_132045.4	40	60	312	310
NM_078496.3	6	14	180	197
NM_132047.3	7	14	183	181
NM_001297984.1	0	0	3	2
NM_078497.4	35	63	175	193
NM_132049.5	6	8	42	53
NM_167054.2	0	0	29	17
NM_001144690.2	2	1	4	3
NM_132050.2	4	5	43	39
NR_073633.2	0	0	2	0
NM_001297988.1	0	0	6	9
NM_001297989.1	2	0	25	7
NM_001297990.1	0	0	3	4
NM_132053.2	0	0	24	25
NM_167056.2	0	0	0	2
NM_132057.3	0	0	1	0
NM_132059.3	4	2	11	14
NR_123808.1	0	0	4	2
NM_143714.4	33	32	82	96
NM_078498.4	0	0	1	2
NM_132060.4	2	3	30	22
NM_132062.3	0	0	2	0
NM_078499.5	0	2	0	0
NM_078500.4	0	2	14	18
NM_001297997.1	0	0	2	0
NM_078501.3	7	8	17	12
NM_001297996.1	1	0	0	1
NM_132070.3	0	2	2	0
NM_132071.3	3	14	24	20
NM_001298002.1	0	0	0	1
NM_001297999.1	0	0	4	0
NM_001298000.1	0	2	4	2
NM_001258618.2	0	0	6	8
NM_001298003.1	0	0	2	2
NM_132074.3	202	294	1353	1415
NM_078503.5	8	26	137	132
