"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_167982.3",45.1017959547653,-0.155432985558134,0.599802206973802,-0.259140402871046,0.795526912249913,0.928688952780268
"NR_001933.1",0.598424705751859,1.43208111455321,4.82096015393615,0.297053090842074,0.766425976774398,NA
"NM_139511.4",1647.78277788336,-2.64932864463924,0.231136051360439,-11.462204312333,2.04249241340049e-30,2.00201392738946e-28
"NM_001347774.1",0.899583683856261,2.02008592298716,3.75711479710589,0.537669470345499,0.590805259885183,NA
"NM_001259658.3",0.517570466511914,-3.97261310355921,4.98650860086883,-0.796672265413727,0.425641395472217,NA
"NM_001382193.1",1.80046511786484,3.0210936697639,2.86532001790598,1.05436518465109,0.29171575548556,NA
"NM_001274425.1",3.13632736541646,-0.326405434573058,1.93203633669765,-0.168943734842466,0.865840898169964,0.956918189442878
"NM_139514.3",29.1697314069771,-0.0221472417823569,0.735889311341939,-0.0300958873039887,0.975990580702858,0.991438006994608
"NM_001259659.1",0.617307917470557,-2.53267184923412,4.59277170517029,-0.551447363774467,0.581327039924409,NA
"NR_133164.1",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NM_139515.5",96.9039007916745,-1.03247369165633,0.411242918931773,-2.51061755504079,0.0120520187177521,0.0632027557464998
"NM_139517.3",70.9987183586808,0.178091300668635,0.485516734646503,0.366807749270065,0.713762426880541,0.895269026503904
"NM_001259662.1",30.7569002973237,-1.00470565653413,0.654160795552794,-1.53586956504342,0.124570373934039,0.350500462358248
"NM_167990.3",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_139518.3",254.468480274074,-1.9714603776122,0.315966312230207,-6.2394638330172,4.39073254968946e-10,1.07592905342618e-08
"NM_079173.5",1.52034718820716,-2.01222770833392,2.67034316266694,-0.753546486633672,0.451121587631599,NA
"NM_079174.2",60.0348362896688,-0.462873446037859,0.491837187329975,-0.941111119617955,0.346647917755389,0.645519490369362
"NM_001274428.1",0.999970009891061,2.17269094459446,3.59356266170593,0.604606389015362,0.545440560507471,NA
"NM_001299998.1",1.7043944652861,-2.17401890168328,2.75112422905252,-0.790229273809277,0.429393882816195,NA
"NM_167994.1",0.301158978104401,0.441016646941916,4.85647231443519,0.0908100815546822,0.927643499230769,NA
"NM_167996.2",36.4031277616086,0.680058790168181,0.644296235723291,1.05550638427174,0.291193791190259,0.585974515978607
"NM_167995.2",16.250387860211,3.71995939629026,1.33366710196791,2.78927131875804,0.00528267887406693,0.0324731149487969
"NM_139521.2",2.80604855136427,0.0732018544490787,2.18775119353071,0.0334598626505337,0.973307872861154,0.991438006994608
"NM_139522.3",259.927175907911,-3.34142717310148,0.344629409323777,-9.6957110528029,3.14439720985174e-22,2.04234281425431e-20
"NM_167997.2",0.801792858126089,1.85390987543842,3.95291307837448,0.468998391485194,0.639070785763217,NA
"NM_139524.3",0.900881434008575,2.02208722191995,3.74611423282841,0.539782584364284,0.589346978882211,NA
"NM_139526.4",6.61034693946817,2.01333109334038,1.63757267368629,1.22946060696545,0.218899158821642,0.503682434707469
"NM_001274433.1",0.29921235287593,0.432246009339612,4.85690650680298,0.0889961560376285,0.929084965036887,NA
"NM_139527.3",31.7954475005596,-1.46111226437623,0.648465316996024,-2.25318490608679,0.0242474927013063,0.109296181565838
"NM_167998.3",1.92059474219405,-0.788918887522278,2.37774489908444,-0.331792905044631,0.740045642053853,NA
"NM_139528.3",243.034388228265,0.265643690242285,0.322052002034656,0.824847194130154,0.409458349113909,0.705773727663107
"NM_168002.3",1.23591358509343,-2.41070170452088,3.40000196339634,-0.709029503651455,0.478306168225999,NA
"NM_176278.2",0.200772652069601,-0.14406464189571,4.89195516890421,-0.0294492972485641,0.976506256316315,NA
"NM_139533.4",74.0767905562803,-0.328532175811492,0.452681795692564,-0.725746382862306,0.467994261653511,0.754806971242511
"NM_168004.2",4.39177303730475,-1.6103872389151,1.65971003111651,-0.970282283485246,0.331905805690108,0.632611357882401
"NM_168005.3",0.49998500494553,1.1726871738113,4.80001912370114,0.244308854525371,0.806991626303868,NA
"NM_001169865.2",1.00212784661909,-1.12628083873947,3.41844472274395,-0.32947171304131,0.741799171237905,NA
"NM_168006.3",1.43473961193456,-1.42850467630254,2.90227990409717,-0.492200863977974,0.622577353747477,NA
"NR_003852.1",1.21767924845089,0.267338348094323,3.11179202574291,0.0859113802859299,0.931536864800847,NA
"NR_003853.1",0.39959867891073,0.849436228932151,4.83888421975327,0.175543821748118,0.860652340551444,NA
"NR_003854.1",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_139535.4",525.07531438169,-1.3908861734906,0.259231606435371,-5.36541894954989,8.07615401835918e-08,1.56052137322489e-06
"NM_139536.4",17.1248118150069,-0.411278110888757,0.870937223280602,-0.472224748116259,0.636766376848422,0.860352766313245
"NM_168008.3",7.42604322020326,0.929009287817925,1.37856039933142,0.673898139151886,0.500376075266755,0.778956806746484
"NM_139537.4",9.90586810280356,-0.256715459862171,1.15068642830016,-0.223097668963909,0.823459492536514,0.940722637055382
"NM_001259665.2",1.03514093302383,-4.84706265367935,4.03538521457043,-1.20114001413749,0.229696893549746,NA
"NR_124769.1",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NM_168009.2",116.573359323474,-3.83130625971819,0.473192936763431,-8.09671058474319,5.64651916603559e-16,2.5580155314368e-14
"NM_206264.2",70.1314255121697,-3.38093653155572,0.531934352101219,-6.35592816707649,2.07171828319847e-10,5.31839679272521e-09
"NM_001104021.3",16.3454223127256,0.124404654422424,0.894099565609988,0.139139598325999,0.889339837607667,0.964998316343786
"NM_139540.3",1.43538848701071,-1.42748136377209,2.87209363854256,-0.497017696295049,0.619176572229279,NA
"NM_139542.3",1.03514093302383,-4.84706265367935,4.03538521457043,-1.20114001413749,0.229696893549746,NA
"NM_139543.3",0.702266618667004,-4.19112817475204,4.77752264340432,-0.877259719645321,0.380345585453188,NA
"NM_168017.2",1.20204041211298,2.4381278542492,3.34810719924955,0.728210809616755,0.466484549788393,NA
"NM_168015.2",56.0969884952797,0.775054969712342,0.547602499688393,1.41536054008771,0.156962813017412,0.407800734928612
"NM_168018.2",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_001274436.1",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_139546.3",0.601020206056488,1.43812008381955,4.4425860031055,0.323712378964472,0.746155798031806,NA
"NM_168022.2",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NM_168025.2",65.6897617019524,-1.11155969266801,0.471587031358404,-2.35706162119465,0.0184201899100017,0.0885055648884306
"NM_168024.2",64.8129544802718,-1.22858471165909,0.480843967795539,-2.55505900862522,0.0106169797658651,0.0574083630067994
"NR_124770.1",4.32120473896217,-0.591304382938533,1.78073818574833,-0.332055766350653,0.73984715015211,0.905451528470252
"NM_139551.3",46.9246995264862,-1.00688218469254,0.54672143365019,-1.84167314965152,0.0655229739940458,0.228187566409497
"NM_139552.3",117.501643342896,-0.206077532933971,0.386839375616077,-0.532721191077755,0.594226594768963,0.841331463364703
"NM_001202112.2",0.0997374509586432,-1.1496712035676,4.99724727780856,-0.230060899462187,0.818044447683655,NA
"NM_206266.3",0.301158978104401,0.441016646941916,4.85647231443519,0.0908100815546822,0.927643499230769,NA
"NM_001104022.3",0.700108781938974,1.65837227795176,4.15802379590117,0.398836649176111,0.690013570723741,NA
"NM_079177.4",20.8154683076228,6.55229325921641,1.62576233835973,4.03028973215554,5.57081434098891e-05,0.000610411790899821
"NM_139554.4",71.5397294030221,0.27905997580919,0.486587206892789,0.573504547296239,0.56630312107352,0.822008649894277
"NM_168030.2",31.6324051519957,1.94410914477467,0.853153151117801,2.27873406108563,0.022682878703037,0.10380594150091
"NM_001169868.2",0.39959867891073,0.849436228932151,4.83888421975327,0.175543821748118,0.860652340551444,NA
"NM_001300000.1",1.30307561322393,2.55452977592732,3.26621700223698,0.782106569826121,0.434151946033439,NA
"NM_139557.2",18.2229434577742,6.36036783172347,1.65497085377959,3.84319023939169,0.000121445255863512,0.00121693564007471
"NM_168031.2",159.960580646377,1.87555156638917,0.393653738255768,4.76447035585009,1.89350350959825e-06,2.89174997740627e-05
"NM_079178.3",87.8841429310773,1.9113985654201,0.471974434337326,4.04979258697305,5.12630481123744e-05,0.000568640107765042
"NM_139560.4",51.791276960322,0.291889818424259,0.571871652871334,0.510411413048186,0.609763262740233,0.84805218397
"NM_168032.2",118.682787043144,-0.233032175873983,0.390523030488982,-0.596718138702855,0.550695580257288,0.811313733428169
"NM_057232.5",9.7865340078043,-2.16329947414425,1.12970738055193,-1.91492019206544,0.0555026822922107,0.202035759782112
"NR_133166.1",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NR_002270.1",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_001144410.2",3.57239471761228,-1.82080686616225,1.81230577214693,-1.00469076142998,0.315045778100491,0.615218102250145
"NM_139564.2",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_001104023.2",21.5564928499792,0.661004091680462,0.804936924935096,0.821187438672615,0.411539510394824,0.706435470117466
"NM_206268.4",199.375424636248,0.546784321807412,0.375509527863022,1.45611304437225,0.145361372128971,0.387429915692607
"NM_168039.3",468.88850488947,0.628173036852402,0.266651390154897,2.35578384379507,0.0184836697484673,0.0887080917070915
"NM_001259678.1",0.899583683856261,2.02008592298716,3.75711479710589,0.537669470345499,0.590805259885183,NA
"NM_168040.2",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_139572.3",30.6602760634134,1.11277428794469,0.711484970788576,1.56401657607939,0.117813675698547,0.337060092392144
"NM_139573.2",15.9485154497846,1.42615160991443,1.07495589703611,1.32670708988773,0.184605594753852,0.453096278817595
"NM_139574.4",14.3510301373857,1.50008469376408,1.04385449293419,1.43706302355175,0.150700086624424,0.396111246705154
"NM_139575.3",3.35728097935708,-1.05632518271494,1.86716870052347,-0.565736337813927,0.571573029165191,0.824953124092123
"NM_079181.4",64.7135255783983,-1.89054130658429,0.490868934577036,-3.85141770728128,0.000117435993718417,0.00117895240621227
"NM_206270.2",2.52312390990241,-1.6491778373448,2.12575350790955,-0.775808592674786,0.437862009693547,NA
"NM_206271.2",0.700757657015131,1.65965750596922,4.15654490590504,0.399287760276909,0.68968118471482,NA
"NM_001104026.2",2.55462803465527,-0.691892323998439,2.24529360386141,-0.308152271403855,0.757966468270958,NA
"NR_003121.1",0.200772652069601,-0.14406464189571,4.89195516890421,-0.0294492972485641,0.976506256316315,NA
"NM_001144411.1",1.40281306418258,2.66095100662218,3.16315155975505,0.841234116150995,0.400216791582421,NA
"NM_139578.3",42.2745937767913,0.389310493822625,0.584456414246675,0.666106974502829,0.505342726886883,0.780378871568945
"NM_079185.4",0.200772652069601,-0.14406464189571,4.89195516890421,-0.0294492972485641,0.976506256316315,NA
"NM_139579.3",254.079321000185,-0.298264232235606,0.301796278241594,-0.988296588590929,0.323007415671645,0.626153533939532
"NM_139580.3",18.0990682591623,-0.689713572593692,0.886192372582734,-0.778288771075268,0.436398793753388,0.728818431575129
"NM_001202118.2",3.20587368235204,3.85336408247451,2.37539946002799,1.62219624417575,0.104761335635059,0.312891058398117
"NM_001202116.1",0.902179184160889,2.02408652110213,3.77499940986797,0.536181943713977,0.591832811332097,NA
"NM_080163.4",113.136950540237,-0.906667960563382,0.433676195543184,-2.09065650796851,0.0365588663362062,0.149649846938867
"NM_139582.3",1.13487838398247,-3.4141275820444,3.61476731482919,-0.944494426525967,0.344917048631257,NA
"NR_073912.1",0.0997374509586432,-1.1496712035676,4.99724727780856,-0.230060899462187,0.818044447683655,NA
"NM_139583.4",47.0025699185132,-0.87716518066468,0.54966041911181,-1.59583108072814,0.110526512053645,0.322696981055877
"NM_001274457.1",0.0997374509586432,-1.1496712035676,4.99724727780856,-0.230060899462187,0.818044447683655,NA
"NM_001274458.1",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NM_001274461.1",3.8411894843881,-0.789384983282222,1.72340021320513,-0.458039274472495,0.646924225177154,0.864126257110335
"NM_139589.3",1.29918236276699,2.5503718444737,3.25242563733086,0.784144552053983,0.432955296049528,NA
"NM_001316436.1",0.200772652069601,-0.14406464189571,4.89195516890421,-0.0294492972485641,0.976506256316315,NA
"NM_168046.3",4.20756386539453,1.09445256093732,1.89068231310254,0.57886645120267,0.562679288815115,0.820060569343684
"NM_168052.3",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NM_139595.3",270.270323351377,0.984555182427443,0.304821503069766,3.22994005512171,0.00123816175330899,0.00925859689042513
"NM_139596.3",237.332557827952,4.40698773930556,1.23768292001769,3.56067589527905,0.000369901427610115,0.00325839639909498
"NM_139597.2",0.0997374509586432,-1.1496712035676,4.99724727780856,-0.230060899462187,0.818044447683655,NA
"NM_080071.3",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NM_168054.2",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_001169870.1",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_080091.4",150.261419087809,3.37566189530942,0.48507029271021,6.95911901025467,3.42407174899172e-12,1.02550948882302e-10
"NM_139599.2",9.20546728962137,2.61585225909386,1.49382503956581,1.75111019685021,0.0799269301262439,0.261460000188459
"NM_139600.4",0.200772652069601,-0.14406464189571,4.89195516890421,-0.0294492972485641,0.976506256316315,NA
"NM_001169871.1",0.39959867891073,0.849436228932151,4.83888421975327,0.175543821748118,0.860652340551444,NA
"NM_168060.3",4.01811437620678,2.57379222364723,2.11637406281187,1.21613294590637,0.223934281991883,0.509315168407868
"NM_139601.4",92.9662797231931,0.814948990062053,0.471231728032026,1.729401781721,0.0837372113628766,0.270315752369622
"NM_139602.3",213.180022663184,0.371676789131288,0.320643698311107,1.15915825288001,0.246391684692474,0.537772296427987
"NM_139603.3",120.476096995409,0.300894931904003,0.382635084134622,0.786375699406955,0.431647415669174,0.724925613044397
"NM_001300004.1",32.0127673702906,0.202320525683177,0.677694359017283,0.298542437296601,0.765289191650696,0.916816451597533
"NM_001104028.2",3.41839192030261,2.30488043790544,2.21077998669331,1.04256436722719,0.297150099585368,0.593146920085818
"NM_079191.3",33.9195550055408,0.998488216132985,0.664823570525723,1.50188450048997,0.133126940173348,0.365607404215241
"NM_001274475.1",23.6532179765824,-0.13320960279063,0.744577370574703,-0.178906327340854,0.858011254447088,0.955286077817206
"NM_079193.4",777.906706193676,-0.81718728941155,0.251188403251933,-3.2532843030653,0.00114079297016032,0.00864980998893713
"NM_079194.2",6.51421172964367,-3.30385153312737,1.42415368622843,-2.3198700850025,0.0203479063042116,0.0950568135927251
"NM_168065.2",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NM_139605.2",24.0808486755238,0.565237528910088,0.786699368028464,0.718492415122465,0.472453722973982,0.758712547081542
"NR_124779.1",0.200772652069601,-0.14406464189571,4.89195516890421,-0.0294492972485641,0.976506256316315,NA
"NM_139608.4",137.834218210853,1.32446733815832,0.392814660109452,3.37173601868443,0.000746960065340111,0.00598344979531729
"NM_144077.3",0.49998500494553,1.1726871738113,4.80001912370114,0.244308854525371,0.806991626303868,NA
"NM_139609.2",2.50122277487997,3.49534819065181,2.5532481082775,1.3689810165021,0.17100520898514,NA
"NM_139610.4",0.400247553986887,0.851665239243918,4.83880108970803,0.176007490999244,0.860288057355789,NA
"NM_001169874.3",0.901530309084732,2.02308674346709,3.75415695318878,0.538892424768942,0.589961084493852,NA
"NM_144078.2",1.70569221543841,-2.17737131305488,2.99694707687295,-0.726529784211866,0.467514055489036,NA
"NM_139611.3",87.9079152550173,-0.00971942575626068,0.440659231103319,-0.0220565576986218,0.982402839971539,0.992877846902431
"NM_079196.3",0.0997374509586432,-1.1496712035676,4.99724727780856,-0.230060899462187,0.818044447683655,NA
"NM_168067.2",0.49998500494553,1.1726871738113,4.80001912370114,0.244308854525371,0.806991626303868,NA
"NM_139613.3",0.29921235287593,0.432246009339612,4.85690650680298,0.0889961560376285,0.929084965036887,NA
"NM_139615.3",0.400247553986887,0.851665239243918,4.83880108970803,0.176007490999244,0.860288057355789,NA
"NM_139617.2",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NM_001274480.1",354.799168277261,-1.93681625333023,0.406815720063289,-4.76091792379339,1.92714416532646e-06,2.92654484373942e-05
"NM_168070.2",2.4066610839531,-2.76457615164479,2.42162285160058,-1.14162126848842,0.253611479519865,NA
"NM_079197.5",11.7055542091803,1.38138543864401,1.21766798473457,1.13445163703234,0.256605149485544,0.550480843962025
"NM_057677.4",29.3283223068962,1.9791656378535,0.766723522730143,2.5813289656304,0.00984207463948981,0.0539762201235906
"NM_079198.3",6.75678968794099,0.961824221697916,1.4153719543857,0.679555800662567,0.49678576410003,0.777010642595315
"NM_139621.3",379.327728138673,-3.28790458474151,0.320047539655741,-10.2731756297147,9.30889494278685e-25,6.87455515569369e-23
"NM_139622.1",56.3152195567516,-0.580332513388285,0.525554390888799,-1.10422921670742,0.269493718814168,0.564454730881204
"NM_139623.3",173.534946276279,-0.631155976677217,0.333096321309795,-1.89481521199453,0.0581168871554188,0.208732937145145
"NM_139624.3",0.200123776993444,-0.148311874169828,4.89226781141807,-0.0303155673169982,0.975815381355459,NA
"NM_139626.2",4.97110331983835,0.413161576838097,1.69127941165423,0.244289366967452,0.807006717987301,0.934512488752081
"NM_001038900.2",45.9977141359927,1.03077498999288,0.623359695926057,1.65357978183298,0.0982129234737674,0.300150720208095
"NM_139630.3",225.213917528869,-0.675795517987567,0.313979744706444,-2.15235386798407,0.0313694941459559,0.133264730449841
"NM_001169876.2",549.239995292549,0.97951844518488,0.263170204350281,3.7219959896415,0.000197654163039947,0.0018814800306699
"NM_139632.3",56.0699312023152,-0.525241958364061,0.511976938967814,-1.02590940799597,0.304934287659115,0.602161444970801
"NM_168081.3",0.301158978104401,0.441016646941916,4.85647231443519,0.0908100815546822,0.927643499230769,NA
"NM_139635.2",18.6226735503612,1.09861623944266,0.878307559775882,1.25083318162831,0.210995346080973,0.491987850658533
"NM_001259694.2",1.01755547145744,-0.216396751361663,3.33931955779056,-0.0648026484487878,0.948331132727751,NA
"NM_001014558.3",0.400247553986887,0.851665239243918,4.83880108970803,0.176007490999244,0.860288057355789,NA
"NM_139639.2",11.9853000544276,-1.01454468879475,1.02221495539292,-0.992496424986052,0.320955422532173,0.622623491497281
"NM_139641.3",1.90150031897579,3.09983439363984,2.80850364348479,1.10373166181603,0.269709556814849,NA
